食物,热量,链接
米饭，又叫大米饭，饭，蒸米、锅巴饭、煮米饭,热量：116 大卡(每100克),http://www.boohee.com/shiwu/mifan_zheng
鲜玉米，又叫玉米（鲜）、苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷、粟米、,热量：112 大卡(每100克),http://www.boohee.com/shiwu/yumi_xian
全麦面包，又叫全麦面包、全麦吐司、全麦面包片、全麦土司,热量：254 大卡(每100克),http://www.boohee.com/shiwu/maipeimianbao
馒头，又叫手工馒头、大馒头、白面馒头,热量：223 大卡(每100克),http://www.boohee.com/shiwu/mantou_junzhi
红薯，又叫地瓜、番薯、甘薯、山芋、红薯,热量：86 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
燕麦片，又叫燕麦,热量：338 大卡(每100克),http://www.boohee.com/shiwu/yanmaipian
煮面条，又叫面、水煮面、面条（煮）,热量：107 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
紫薯，又叫甘薯（紫色）,热量：133 大卡(每100克),http://www.boohee.com/shiwu/zishu
马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯、土豆、洋芋,热量：81 大卡(每100克),http://www.boohee.com/shiwu/malingshu
小米粥,热量：46 大卡(每100克),http://www.boohee.com/shiwu/xiaomizhou
白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤、白米汤,热量：46 大卡(每100克),http://www.boohee.com/shiwu/jingmizhou
烤红薯，又叫烤地瓜、烤山芋,热量：90 大卡(每100克),http://www.boohee.com/shiwu/kaohongshu2
油条，又叫小油条,热量：388 大卡(每100克),http://www.boohee.com/shiwu/youtiao
包子(猪肉馅),热量：227 大卡(每100克),http://www.boohee.com/shiwu/baozi_zhurouxian
面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
糯玉米，又叫玉米,热量：172 大卡(每100克),http://www.boohee.com/shiwu/fd111062
稀饭，又叫白粥（籼米），大米粥，白米粥,热量：59 大卡(每100克),http://www.boohee.com/shiwu/xianmizhou
麦片,热量：368 大卡(每100克),http://www.boohee.com/shiwu/maipian
芋头，又叫芋艿、毛芋、芋艿、毛芋头、香芋,热量：56 大卡(每100克),http://www.boohee.com/shiwu/yutou
花卷，又叫花之卷、大花卷、小花卷,热量：214 大卡(每100克),http://www.boohee.com/shiwu/huajuan
米饭，又叫大米饭，饭，蒸米、锅巴饭、煮米饭,热量：116 大卡(每100克),http://www.boohee.com/shiwu/mifan_zheng
白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤、白米汤,热量：46 大卡(每100克),http://www.boohee.com/shiwu/jingmizhou
稀饭，又叫白粥（籼米），大米粥，白米粥,热量：59 大卡(每100克),http://www.boohee.com/shiwu/xianmizhou
大米，又叫稻米、米、生米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/daomi_junzhi
糙米,热量：348 大卡(每100克),http://www.boohee.com/shiwu/caomi_weizheng
米粉(干)，又叫粉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/mifen
籼米粉，又叫米线、米粉、粉、排米粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
黑米,热量：341 大卡(每100克),http://www.boohee.com/shiwu/heimi
紫米，又叫血糯米、紫米、紫红糯米、血糯米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/zihongnuomi
河粉(干),热量：359 大卡(每100克),http://www.boohee.com/shiwu/hefen
冻虾仁，又叫冷冻虾仁,热量：48 大卡(每100克),http://www.boohee.com/shiwu/xiaren_hong
鹌鹑蛋，又叫鹑鸟蛋、鹌鹑卵,热量：160 大卡(每100克),http://www.boohee.com/shiwu/anchundan
去皮鸡腿，又叫脱皮鸡腿，去皮鸡腿肉,热量：120 大卡(每100克),http://www.boohee.com/shiwu/qupijitui
鸡蛋(红皮),热量：156 大卡(每100克),http://www.boohee.com/shiwu/jidan_hongpi
猪小排，又叫排骨、猪排、猪脊骨,热量：295 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai
火腿肠,热量：212 大卡(每100克),http://www.boohee.com/shiwu/huotuichang
水煮蛋白，又叫水煮鸡蛋白、水煮蛋蛋白、煮鸡蛋清,热量：61 大卡(每100克),http://www.boohee.com/shiwu/fd0ace1a
巴沙鱼,热量：79 大卡(每100克),http://www.boohee.com/shiwu/fd0e2544
牛肉(肥瘦)，又叫肥牛,热量：125 大卡(每100克),http://www.boohee.com/shiwu/niurou_feishou
酱牛肉,热量：246 大卡(每100克),http://www.boohee.com/shiwu/jiangniurou
煮芋头，又叫芋头(煮),热量：60 大卡(每100克),http://www.boohee.com/shiwu/yutou_zhu
水果玉米，又叫玉米,热量：105 大卡(每100克),http://www.boohee.com/shiwu/fd352c04
饺子,热量：240 大卡(每100克),http://www.boohee.com/shiwu/fdd628bd
山药，又叫薯蓣、山芋、诸薯、延草、薯药、大薯、薯蓣，大薯,热量：57 大卡(每100克),http://www.boohee.com/shiwu/shanyao
桂格 即食燕麦片(经典原味),热量：396 大卡(每100克),http://www.boohee.com/shiwu/fda6e580
大米，又叫稻米、米、生米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/daomi_junzhi
珍珠玉米，又叫玉米,热量：66 大卡(每100克),http://www.boohee.com/shiwu/fdc6c0b5
炒饭，又叫炒米饭,热量：188 大卡(每100克),http://www.boohee.com/shiwu/shijinchaofan
方便面，又叫泡面,热量：473 大卡(每100克),http://www.boohee.com/shiwu/fangbianmian
甜玉米，又叫玉米,热量：107 大卡(每100克),http://www.boohee.com/shiwu/fd79c794
麦当劳 麦辣鸡翅,热量：184 大卡(每100克),http://www.boohee.com/shiwu/mailajichi4kuai_maidanglao
鲑鱼(三文鱼)，又叫三文鱼、大马哈鱼、大麻哈鱼、大马哈鱼、三文鱼,热量：139 大卡(每100克),http://www.boohee.com/shiwu/guiyu5
基围虾，又叫南美虾,热量：101 大卡(每100克),http://www.boohee.com/shiwu/jiweixia
